vignette,cycle,pc,pc_slots,pc_covered,conforms,ttl_file
vignette_009,0,0.75,4,3,False,cycle_00.ttl
vignette_009,1,1.0,4,4,True,cycle_01.ttl
vignette_01,0,1.0,4,4,True,cycle_00.ttl
vignette_010,0,0.9565217391304348,23,22,False,cycle_00.ttl
vignette_011,0,0.75,4,3,False,cycle_00.ttl
vignette_012,0,0.9473684210526315,19,18,False,cycle_00.ttl
vignette_012,1,1.0,19,19,True,cycle_01.ttl
vignette_013,0,0.975609756097561,41,40,False,cycle_00.ttl
vignette_013,1,1.0,41,41,True,cycle_01.ttl
vignette_014,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_014,1,1.0,18,18,True,cycle_01.ttl
vignette_015,0,1.0,44,44,True,cycle_00.ttl
vignette_016,0,0.9523809523809523,21,20,False,cycle_00.ttl
vignette_016,1,1.0,21,21,True,cycle_01.ttl
vignette_017,0,0.9736842105263158,38,37,False,cycle_00.ttl
vignette_017,1,1.0,38,38,True,cycle_01.ttl
vignette_018,0,0.75,4,3,False,cycle_00.ttl
vignette_018,1,1.0,4,4,True,cycle_01.ttl
vignette_019,0,0.9795918367346939,49,48,False,cycle_00.ttl
vignette_019,1,1.0,49,49,True,cycle_01.ttl
vignette_02,0,0.8,5,4,False,cycle_00.ttl
vignette_02,1,1.0,5,5,True,cycle_01.ttl
vignette_020,0,0.972972972972973,37,36,False,cycle_00.ttl
vignette_020,1,1.0,37,37,True,cycle_01.ttl
vignette_021,0,0.9714285714285714,35,34,False,cycle_00.ttl
vignette_021,1,1.0,35,35,True,cycle_01.ttl
vignette_022,0,0.75,4,3,False,cycle_00.ttl
vignette_022,1,1.0,4,4,True,cycle_01.ttl
vignette_023,0,0.984375,64,63,False,cycle_00.ttl
vignette_023,1,1.0,64,64,True,cycle_01.ttl
vignette_024,0,0.9714285714285714,35,34,False,cycle_00.ttl
vignette_025,0,0.987012987012987,77,76,False,cycle_00.ttl
vignette_025,1,1.0,77,77,True,cycle_01.ttl
vignette_026,0,1.0,4,4,True,cycle_00.ttl
vignette_027,0,0.9795918367346939,49,48,False,cycle_00.ttl
vignette_027,1,1.0,49,49,True,cycle_01.ttl
vignette_028,0,0.9736842105263158,38,37,False,cycle_00.ttl
vignette_028,1,1.0,38,38,True,cycle_01.ttl
vignette_029,0,0.9864864864864865,74,73,False,cycle_00.ttl
vignette_029,1,1.0,74,74,True,cycle_01.ttl
vignette_03,0,1.0,4,4,True,cycle_00.ttl
vignette_030,0,0.9615384615384616,26,25,False,cycle_00.ttl
vignette_030,1,1.0,26,26,True,cycle_01.ttl
vignette_031,0,0.98,50,49,False,cycle_00.ttl
vignette_031,1,1.0,50,50,True,cycle_01.ttl
vignette_032,0,0.9629629629629629,27,26,False,cycle_00.ttl
vignette_032,1,1.0,27,27,True,cycle_01.ttl
vignette_033,0,0.9782608695652174,46,45,False,cycle_00.ttl
vignette_033,1,1.0,46,46,True,cycle_01.ttl
vignette_034,0,0.9523809523809523,21,20,False,cycle_00.ttl
vignette_034,1,1.0,21,21,True,cycle_01.ttl
vignette_035,0,0.8,5,4,False,cycle_00.ttl
vignette_035,1,1.0,5,5,True,cycle_01.ttl
vignette_036,0,,0,0,False,cycle_00.ttl
vignette_036,1,,0,0,True,cycle_01.ttl
vignette_037,0,0.9523809523809523,21,20,False,cycle_00.ttl
vignette_037,1,1.0,21,21,True,cycle_01.ttl
vignette_038,0,0.8135593220338984,59,48,False,cycle_00.ttl
vignette_038,1,1.0,60,60,False,cycle_01.ttl
vignette_038,2,1.0,60,60,True,cycle_02.ttl
vignette_039,0,,0,0,False,cycle_00.ttl
vignette_039,1,,0,0,True,cycle_01.ttl
vignette_04,0,1.0,4,4,True,cycle_00.ttl
vignette_040,0,0.8333333333333334,6,5,False,cycle_00.ttl
vignette_040,1,1.0,6,6,True,cycle_01.ttl
vignette_041,0,0.8,5,4,False,cycle_00.ttl
vignette_041,1,1.0,5,5,True,cycle_01.ttl
vignette_042,0,0.98,50,49,False,cycle_00.ttl
vignette_042,1,1.0,50,50,True,cycle_01.ttl
vignette_043,0,0.9523809523809523,21,20,False,cycle_00.ttl
vignette_043,1,1.0,21,21,True,cycle_01.ttl
vignette_044,0,0.96,25,24,False,cycle_00.ttl
vignette_044,1,1.0,25,25,True,cycle_01.ttl
vignette_045,0,0.96875,32,31,False,cycle_00.ttl
vignette_045,1,1.0,32,32,True,cycle_01.ttl
vignette_046,0,0.96,25,24,False,cycle_00.ttl
vignette_046,1,1.0,25,25,True,cycle_01.ttl
vignette_047,0,0.95,20,19,False,cycle_00.ttl
vignette_047,1,1.0,20,20,True,cycle_01.ttl
vignette_048,0,0.8333333333333334,6,5,False,cycle_00.ttl
vignette_048,1,1.0,6,6,True,cycle_01.ttl
vignette_049,0,0.967741935483871,31,30,False,cycle_00.ttl
vignette_049,1,1.0,31,31,True,cycle_01.ttl
vignette_05,0,1.0,3,3,False,cycle_00.ttl
vignette_05,1,0.75,4,3,False,cycle_01.ttl
vignette_05,2,1.0,4,4,False,cycle_02.ttl
vignette_05,3,1.0,4,4,False,cycle_03.ttl
vignette_050,0,0.95,20,19,False,cycle_00.ttl
vignette_050,1,1.0,20,20,True,cycle_01.ttl
vignette_051,0,0.9782608695652174,46,45,False,cycle_00.ttl
vignette_051,1,1.0,46,46,True,cycle_01.ttl
vignette_052,0,0.9583333333333334,24,23,False,cycle_00.ttl
vignette_052,1,1.0,24,24,True,cycle_01.ttl
vignette_053,0,0.9545454545454546,22,21,False,cycle_00.ttl
vignette_053,1,1.0,22,22,True,cycle_01.ttl
vignette_054,0,0.96875,32,31,False,cycle_00.ttl
vignette_054,1,1.0,32,32,True,cycle_01.ttl
vignette_055,0,0.9767441860465116,43,42,False,cycle_00.ttl
vignette_055,1,1.0,43,43,True,cycle_01.ttl
vignette_056,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_056,1,1.0,18,18,True,cycle_01.ttl
vignette_057,0,0.9375,16,15,False,cycle_00.ttl
vignette_057,1,1.0,16,16,True,cycle_01.ttl
vignette_058,0,0.75,4,3,False,cycle_00.ttl
